"FOLIO","VIV_SEL","HOGAR","N_REN","P6_1_01","P6_1_02","P6_1_03","P6_1_04","P6_1_05","P6_1_06","P6_1_07","P6_1_08","P6_1_09","P6_1_10","P6_2_1","P6_3A_1","P6_3B_1","P6_3C_1","P6_3D_1","P6_2_2","P6_3A_2","P6_3B_2","P6_3C_2","P6_3D_2","P6_2_3","P6_3A_3","P6_3B_3","P6_3C_3","P6_3D_3","P6_4_1","P6_4_2","P6_4_3","P6_4_4","P6_5_1","P6_5_2","P6_5_3","P6_5_4","P6_5_5","P6_6_1","P6_6_2","P6_6_3","P6_6_4","P6_6_5","P6_6_6","P6_6_7","P6_6_8","P6_6_9","EST_DIS","UPM_DIS","FACTOR"
"0100038","02","1","02","1","1","2","2","2","2","2","2","2","2","2","1","2","2","3","2","1","2","2","3","","","","","","2","2","1","2","2","2","2","2","2","1","1","2","2","2","1","2","2","2","002","0000003",461
"0100087","02","1","06","2","1","2","1","2","2","2","2","2","2","","","","","","1","1","4","1","2","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","001","0000011",1863
"0100091","04","1","05","1","2","2","2","2","2","2","2","2","2","2","2","1","2","2","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","001","0000012",1041
"0100138","01","1","04","1","2","1","2","2","2","2","2","2","2","1","1","2","1","4","","","","","","1","1","2","1","3","2","2","2","2","2","2","2","2","2","2","1","2","1","2","1","2","2","2","002","0000014",1015
"0100181","05","1","02","2","2","1","2","2","2","2","2","2","2","","","","","","","","","","","1","4","2","4","4","2","2","2","2","2","2","1","2","2","2","1","2","2","2","2","2","2","2","002","0000020",536
"0100332","02","1","05","1","2","2","2","2","2","2","2","2","2","2","1","1","1","2","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","002","0000031",1378
"0100385","01","2","01","1","1","2","2","2","2","2","2","2","2","2","5","2","1","3","2","5","4","2","3","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","003","0000039",587
"0100385","03","1","04","1","1","2","2","2","2","2","2","2","2","3","3","2","4","4","3","4","4","4","4","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","1","1","2","2","2","003","0000039",1248
"0100385","05","1","03","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","2","2","003","0000039",936
"0100422","02","1","05","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","3","2","2","4","4","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","1","2","2","2","2","2","002","0000043",1311
"0100429","03","1","04","1","1","2","2","2","2","2","2","2","2","2","2","2","2","4","2","2","2","2","4","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","002","0000044",1067
"0100454","01","1","03","1","2","2","2","1","2","2","2","2","2","3","3","2","4","4","","","","","","2","1","1","4","4","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","1","2","2","001","0000048",847
"0100454","03","1","05","1","2","2","2","2","2","2","2","2","2","3","1","3","3","4","","","","","","","","","","","1","1","1","1","2","1","2","2","2","2","2","2","2","2","1","1","2","2","001","0000048",1328
"0100454","05","1","07","1","1","2","2","2","2","2","2","2","2","2","1","2","2","1","3","2","2","2","3","","","","","","2","2","2","2","2","1","2","2","2","2","2","2","2","2","1","2","2","2","001","0000048",1860
"0100459","05","1","03","1","1","2","2","2","2","2","2","2","2","1","1","2","3","1","4","4","3","4","3","","","","","","2","2","2","2","2","1","2","2","2","1","2","2","2","2","1","2","2","2","001","0000050",743
"0100556","03","1","03","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","2","2","001","0000056",798
"0100692","03","1","03","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","2","1","2","2","2","002","0000073",823
"0100768","01","1","03","1","1","2","2","2","2","2","2","2","2","2","1","1","1","1","3","3","3","3","3","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","001","0000082",843
"0100895","04","1","03","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","2","1","2","2","2","003","0000091",1170
"0100969","03","1","02","1","2","2","2","2","2","2","2","2","2","4","2","4","4","4","","","","","","","","","","","2","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","1","001","0000102",544
"0101038","04","1","04","1","1","2","2","2","2","2","2","2","2","1","1","1","1","2","3","3","3","2","3","","","","","","2","2","2","2","2","2","1","2","1","1","2","2","2","1","1","1","2","2","002","0000108",1172
"0101061","01","1","05","1","1","2","2","2","2","2","2","2","2","2","2","2","1","3","2","1","2","2","4","","","","","","1","1","1","1","1","2","2","2","2","1","2","2","2","2","1","2","2","2","002","0000112",1356
"0101159","01","1","04","1","1","2","2","2","2","2","2","2","2","1","1","2","1","3","2","1","3","2","1","","","","","","2","2","1","2","2","1","1","1","1","1","2","1","2","1","1","1","2","2","002","0000117",1120
"0101177","04","1","03","1","2","2","2","2","2","2","2","2","2","2","4","4","3","4","","","","","","","","","","","2","2","2","2","2","1","1","2","1","2","2","2","2","1","2","2","2","2","002","0000118",876
"0101196","05","1","05","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","2","1","2","4","4","","","","","","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","001","0000122",1215
"0101269","02","1","03","1","2","2","2","2","2","2","2","2","2","1","1","1","1","4","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","1","2","2","2","002","0000128",794
"0101394","04","1","03","1","1","2","2","2","2","2","2","2","2","1","1","2","2","2","1","1","2","2","2","","","","","","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","001","0000143",873
"0101395","02","1","05","2","2","1","2","2","2","2","2","2","2","","","","","","","","","","","1","1","1","1","2","2","2","2","2","2","1","2","2","2","2","2","2","1","2","2","2","2","2","001","0000144",1076
"0101483","03","1","02","1","2","2","2","2","2","2","2","2","2","2","1","1","1","1","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","1","2","2","002","0000151",523
"0101519","04","1","03","1","1","2","2","2","2","2","2","2","2","2","1","1","1","1","2","1","1","1","1","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","2","1","2","2","2","003","0000154",961
"0101519","05","1","03","1","1","2","2","2","2","2","2","2","2","2","1","1","2","1","2","1","2","2","1","","","","","","2","2","2","2","2","2","2","2","2","1","1","1","2","2","1","2","2","2","003","0000154",961
"0101557","03","1","04","1","1","2","2","2","2","2","2","2","2","2","2","2","3","2","3","2","3","3","3","","","","","","2","2","1","1","2","1","2","1","2","1","1","2","2","2","1","1","2","2","003","0000158",1859
"0101557","05","1","03","1","1","2","2","2","2","2","2","2","2","2","1","1","1","2","2","1","1","1","2","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","2","1","1","2","2","003","0000158",1116
"0101586","04","1","03","1","1","2","2","2","2","2","2","2","2","2","1","1","3","1","2","2","1","4","4","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","2","2","001","0000160",832
"0101589","02","1","04","1","1","2","2","2","2","2","2","2","2","2","1","2","2","4","2","1","1","1","4","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","2","001","0000161",1356
"0101595","04","1","03","1","1","2","2","2","2","2","2","2","2","2","1","2","2","2","2","3","2","2","2","","","","","","2","1","2","2","2","1","1","2","1","1","2","2","2","2","1","2","2","2","001","0000162",760
"0101714","01","1","05","1","1","2","2","2","2","2","2","2","2","1","2","1","2","1","1","1","1","2","3","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","003","0000169",1830
"0101775","05","1","04","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","2","2","001","0000177",1139
"0101859","01","1","06","1","1","2","2","2","2","2","2","2","2","3","2","3","2","4","2","2","3","2","4","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","003","0000188",2128
"0101952","02","1","03","1","1","2","2","2","2","2","2","2","2","1","2","1","2","2","1","3","2","3","3","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","001","0000198",768
"0101958","01","1","03","1","2","2","2","2","2","2","2","2","2","1","2","2","1","2","","","","","","","","","","","2","2","2","2","2","1","2","2","2","1","1","2","2","2","1","2","2","2","001","0000199",774
"0102005","08","1","05","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","007","0000202",1279
"0102063","01","1","03","2","2","1","1","2","2","2","2","2","2","","","","","","","","","","","1","3","3","2","2","2","2","1","1","2","1","2","2","2","2","2","2","2","2","2","2","1","2","004","0000207",723
"0102108","03","1","04","1","1","2","2","2","2","2","2","2","2","3","5","2","3","3","3","5","3","3","2","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","004","0000211",962
"0102167","02","1","02","2","1","2","2","2","2","2","2","2","2","","","","","","3","5","4","3","3","","","","","","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","1","008","0000214",429
"0102167","15","1","04","1","1","2","2","2","2","2","2","2","2","2","1","2","2","3","2","2","2","3","3","","","","","","2","2","2","2","2","1","2","2","2","2","1","2","2","2","1","1","2","2","008","0000214",643
"0102167","17","1","03","1","1","2","2","2","2","2","2","2","2","1","1","1","1","2","1","1","1","1","2","","","","","","2","2","2","1","1","1","2","2","1","1","2","2","1","2","2","2","2","2","008","0000214",606
"0102167","19","1","02","1","2","1","2","2","2","2","2","2","2","2","2","3","1","2","","","","","","1","3","1","1","4","2","2","2","2","2","2","2","2","2","2","1","2","2","2","1","2","2","2","008","0000214",429
"0102186","12","1","04","1","1","2","2","2","2","2","2","2","2","2","4","3","4","3","2","4","4","4","3","","","","","","1","1","1","1","2","1","2","2","2","1","2","2","2","2","2","2","2","2","007","0000216",1137
"0102267","17","1","04","1","1","2","2","2","2","2","2","2","2","1","1","2","2","1","1","2","2","2","1","","","","","","1","1","1","2","2","2","2","2","2","1","2","1","2","2","1","2","2","2","009","0000218",1115
